Name,Xcoo,Ycoo,Facc
Stollberg-Talsperre,12.80616111,50.71430833,5.735538666
Süptitz,12.91719167,51.56759444,9.380588069
Tambach-Dietharz-Talsperre,10.62191111,50.78712222,59.18542723
Tautenhain,12.69405278,51.08916111,1.896300859
Teufelsteich-Talsperre,11.116475,51.62022778,3.748880441
Verse-Talsperre,7.685183333,51.19261667,26.503987
Wahnbach-Talsperre,7.284747222,50.804975,72.38051232
Wehebach-Talsperre,6.347622397,50.75123702,32.49203777
Weida-Talsperre,11.99395556,50.70565278,166.6082116
Werda-Talsperre,12.30681111,50.44879444,13.45965511
Wiehl-Talsperre,7.667577778,50.93651944,47.55086582
Zeisigteich,12.90833333,51.30269722,9.437880225
Zeulenrodaer-Talsperre,11.97593056,50.66995833,139.8338707
Zillierbach-Talsperre,10.77881667,51.79166944,3.734666136
